,attribute,information_level,type,missing_or_unknown
0,ager_type,person,categorical,"[-1,0]"
1,age_name,person,ordinal,"[-1,0,9]"
2,gender,person,categorical,"[-1,0]"
3,customer_typ,person,categorical,[0]
4,fin_min,person,ordinal,[-1]
5,fin_saver,person,ordinal,[-1]
6,fin_beprep,person,ordinal,[-1]
7,fin_inv,person,ordinal,[-1]
8,fin_incos,person,ordinal,[-1]
9,fin_home_own,person,ordinal,[-1]
10,fin_typ,person,categorical,[-1]
11,birth_year,person,numeric,[0]
12,vac_hab,person,categorical,[]
13,green_avan,person,categorical,[]
14,health,person,ordinal,"[-1,0]"
15,life_stage_F,person,mixed,[0]
16,life_stage_R,person,mixed,[0]
17,family_type_F,person,categorical,[0]
18,family_type_R,person,categorical,[0]
19,social_status_F,person,categorical,[0]
20,social_status_R,person,categorical,[0]
21,nation_from_name,person,categorical,"[-1,0]"
22,youth_ideology,person,mixed,"[-1,0]"
23,return_type,person,ordinal,[0]
24,pers_social,person,ordinal,"[-1,9]"
25,pers_fam,person,ordinal,"[-1,9]"
26,pers_rel,person,ordinal,"[-1,9]"
27,pers_mat,person,ordinal,"[-1,9]"
28,pers_dream,person,ordinal,"[-1,9]"
29,pers_lust,person,ordinal,"[-1,9]"
30,pers_event,person,ordinal,"[-1,9]"
31,pers_cult,person,ordinal,"[-1,9]"
32,pers_rat,person,ordinal,"[-1,9]"
33,pers_crit,person,ordinal,"[-1,9]"
34,pers_domi,person,ordinal,"[-1,9]"
35,pers_comb,person,ordinal,"[-1,9]"
36,pers_duty,person,ordinal,"[-1,9]"
37,pers_trad,person,ordinal,"[-1,9]"
38,shopper_typ,person,categorical,[-1]
39,office,person,categorical,[-1]
40,academic_tit,person,categorical,"[-1,0]"
41,insurance,person,categorical,[-1]
42,energy_cons,person,categorical,"[-1,9]"
43,alter_hh,household,interval,[0]
44,adults_num,household,numeric,[]
45,academic_house,household,numeric,[]
46,house_inc,household,ordinal,"[-1,0]"
47,cons_patt,household,categorical,[-1]
48,children,household,ordinal,"[-1,0]"
49,time_in_house,household,ordinal,"[-1,0]"
50,households_num,building,numeric,[0]
51,academic_build,building,numeric,[]
52,build,building,categorical,"[-1,0]"
53,build_to_pos,building,ordinal,[]
54,build_time,building,numeric,[0]
55,build_east_west,building,categorical,[-1]
56,neighbors,building,mixed,[-1]
57,cameo_R,microcell_rr4,categorical,"[-1,X]"
58,cameo_F,microcell_rr4,categorical,[XX]
59,cameo_int,microcell_rr4,mixed,"[-1,XX]"
60,1to2_fam_build,microcell_rr3,ordinal,[-1]
61,3to5_fam_build,microcell_rr3,ordinal,[-1]
62,6to10_fam_build,microcell_rr3,ordinal,[-1]
63,10+_fam_build,microcell_rr3,ordinal,[-1]
64,pop_build,microcell_rr3,mixed,"[-1,0]"
65,build_num,microcell_rr3,ordinal,"[-1,0]"
66,build_to_town,postcode,ordinal,[-1]
67,build_dens,postcode,ordinal,[-1]
68,build_to_city,postcode,ordinal,[-1]
69,res_to_comm,region_rr1,ordinal,[]
70,purchase_power,region_rr1,ordinal,"[-1,0]"
71,movement,region_rr1,ordinal,[]
72,online,region_rr1,ordinal,[]
73,neigh_type,region_rr1,ordinal,"[-1,0]"
74,cars_num,macrocell_plz8,numeric,[]
75,1to2_fam_plz8,macrocell_plz8,ordinal,[-1]
76,3to5_fam_plz8,macrocell_plz8,ordinal,[-1]
77,6to10_fam_plz8,macrocell_plz8,ordinal,[-1]
78,10+_fam_plz8,macrocell_plz8,ordinal,[-1]
79,pop_build_plz8,macrocell_plz8,mixed,"[-1,0]"
80,houses_num_plz8,macrocell_plz8,ordinal,[-1]
81,build_num_plz8,macrocell_plz8,ordinal,[-1]
82,comm_unemp,community,ordinal,"[-1,9]"
83,comm_size,community,ordinal,"[-1,0]"
84,comm_to_county_unemp,community,ordinal,"[-1,9]"
